trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20210101,999,2628,2479
20210101,7315,1646,1493
20210101,7338,1699,1717
20210101,7345,1611,1640
20210102,938,2076,1989
20210102,958,2031,2281
20210102,982,2012,2104
20210102,7311,1226,1249
20210102,7377,1237,1152
20210103,934,2045,2324
20210103,935,1978,2252
20210103,968,2000,2250
20210103,7302,1285,1362
20210103,7302,1260,1335
20210103,7328,1269,1316
20210103,7389,1312,1382
20210104,910,2729,2830
20210104,950,2655,2544
20210104,7314,1756,1863
20210104,7335,1721,1838
20210104,7373,1615,1669
20210105,911,2653,2683
20210105,988,2711,2788
20210105,7334,1665,1497
20210106,939,2669,2989
20210106,979,2584,2402
20210106,7333,1684,1643
20210106,7366,1702,1748
20210106,7390,1661,1673
20210106,7393,1687,1769
20210107,925,2688,2638
20210107,969,2649,2709
20210107,980,2631,2999
20210107,7388,1719,1731
20210108,970,2752,3093
20210108,7308,1690,1798
20210108,7380,1667,1717
20210109,938,1957,2034
20210109,951,2004,1753
20210109,968,1948,2003
20210109,7326,1248,1355
20210109,7334,1239,1162
20210110,903,2035,2127
20210110,7305,1230,1183
20210110,7309,1253,1318
20210110,7326,1235,1358
20210110,7329,1363,1322
20210110,7380,1308,1340
20210111,918,2671,2790
20210111,982,2723,2750
20210111,989,2679,2854
20210111,7378,1649,1888
20210112,7346,1679,1876
20210113,926,2722,2519
20210113,979,2644,3143
20210113,988,2787,2845
20210114,7338,1655,1586
20210114,7354,1625,1930
20210114,7361,1700,1710
20210115,907,2690,2833
20210115,922,2614,2525
20210115,974,2729,2888
20210115,995,2584,3052
20210115,7300,1661,1597
20210115,7302,1675,1555
20210115,7305,1678,1838
20210115,7383,1742,1907
20210115,7398,1608,1537
20210116,7351,1251,1363
20210116,7354,1230,1413
20210116,7369,1284,1354
20210116,7399,1244,1324
20210117,959,1950,1838
20210117,970,1950,1966
20210117,7382,1250,1304
20210118,906,2745,2740
20210118,913,2702,3044
20210118,959,2730,2810
20210118,977,2635,2382
20210118,990,2625,2831
20210118,7305,1696,1599
20210118,7306,1695,1865
20210118,7370,1750,1620
20210118,7379,1624,1979
20210118,7380,1710,1941
20210118,7383,1647,1719
20210119,920,2655,2796
20210119,997,2643,2811
20210120,988,2719,2722
20210120,7307,1642,1672
20210121,932,2742,2862
20210121,933,2737,2571
20210121,944,2673,2980
20210121,7383,1621,1689
20210122,7304,1692,1625
20210123,902,2003,2135
20210123,916,2011,1832
20210123,971,1997,1995
20210123,976,1978,2205
20210123,991,2015,1857
20210124,940,2020,1924
20210124,981,2129,2161
20210124,7302,1253,1282
20210124,7343,1249,1274
20210125,927,2673,3091
20210125,942,2703,2907
20210125,7325,1684,1760
20210125,7386,1648,1835
20210126,956,2671,2766
20210126,963,2666,2955
20210126,973,2598,2652
20210126,7349,1706,1963
20210127,900,2659,2888
20210127,963,2674,2567
20210127,977,2611,2869
20210127,7309,1697,1649
20210127,7311,1747,1902
20210127,7326,1675,1719
20210128,919,2708,2629
20210128,951,2781,2592
20210128,7387,1749,1806
20210129,7332,1728,1627
20210130,900,2024,2142
20210130,934,2005,2046
20210130,943,2066,2328
20210130,954,1998,1679
20210130,7322,1293,1293
20210130,7336,1289,1211
20210131,965,2050,1846
20210131,989,1943,1972
20210131,7393,1324,1361
20210201,7330,1670,1686
20210201,7372,1703,1562
20210201,7399,1648,1624
20210202,935,2764,2547
20210202,937,2695,2658
20210202,7314,1691,1734
20210202,7338,1776,2048
20210202,7390,1617,1862
20210203,917,2650,2814
20210203,928,2716,2521
20210203,971,2653,3004
20210203,976,2678,3113
20210203,7396,1728,1742
20210204,950,2690,2359
20210204,7338,1704,1923
20210204,7349,1666,1688
20210204,7373,1748,1776
20210204,7381,1704,1698
20210205,926,2671,2818
20210205,944,2689,2925
20210205,7307,1716,1862
20210205,7311,1662,1911
20210205,7336,1698,1730
20210205,7361,1629,1490
20210206,909,1985,2303
20210206,945,2056,2471
20210206,980,2032,2129
20210206,7366,1212,1280
20210206,7376,1272,1255
20210207,917,2029,2103
20210207,7327,1226,1168
20210207,7359,1185,1204
20210208,921,2565,2730
20210208,956,2662,2869
20210208,958,2623,2762
20210208,7362,1676,1649
20210209,900,2695,2517
20210209,915,2686,2804
20210209,956,2723,2546
20210209,977,2632,2641
20210209,7399,1614,1574
20210210,928,2691,2616
