trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20190102,920,2346,2731
20190102,7302,1492,1437
20190102,7378,1516,1750
20190102,7384,1494,1618
20190103,7344,1467,1477
20190103,7374,1546,1490
20190104,920,2427,2414
20190104,958,2371,2489
20190104,961,2349,2537
20190104,966,2403,2573
20190104,977,2342,2603
20190104,985,2429,2527
20190104,7365,1481,1551
20190105,912,1806,1911
20190105,939,1833,1914
20190105,991,1761,1923
20190106,986,1814,2098
20190106,7341,1096,1019
20190106,7361,1122,1040
20190107,979,2375,2452
20190107,7345,1508,1521
20190108,911,2438,2354
20190108,7383,1501,1453
20190108,7391,1457,1462
20190109,927,2455,2665
20190109,932,2400,2187
20190109,7314,1499,1457
20190109,7349,1470,1421
20190109,7381,1520,1721
20190110,904,2369,2627
20190110,943,2423,2475
20190110,968,2350,2445
20190110,7317,1478,1565
20190110,7361,1588,1634
20190111,931,2415,2327
20190111,982,2443,2369
20190111,7346,1507,1591
20190112,950,1797,1925
20190112,952,1891,1887
20190112,967,1792,2163
20190112,983,1875,1945
20190112,997,1776,1755
20190112,7344,1124,1126
20190112,7347,1156,1169
20190112,7388,1134,1149
20190113,7361,1094,1032
20190113,7371,1104,1225
20190113,7386,1129,969
20190113,7390,1171,1169
20190113,7395,1110,1120
20190114,952,2437,2581
20190114,955,2464,3031
20190114,7341,1498,1682
20190114,7351,1560,1586
20190115,925,2397,2281
20190115,995,2393,2449
20190115,999,2431,2792
20190115,7319,1469,1404
20190116,7306,1514,1597
20190116,7308,1539,1475
20190116,7353,1556,1591
20190116,7365,1473,1595
20190117,988,2401,2001
20190118,932,2400,2710
20190118,984,2384,2717
20190118,994,2408,2721
20190119,7348,1132,1357
20190119,7376,1144,1169
20190119,7397,1098,1138
20190120,908,1815,1879
20190120,927,1778,1606
20190120,953,1778,1783
20190120,989,1728,1940
20190121,903,2446,2399
20190121,907,2455,2561
20190121,7314,1516,1652
20190121,7341,1539,1369
20190121,7384,1466,1478
20190122,930,2337,2892
20190122,973,2369,2542
20190122,984,2416,2355
20190122,7335,1544,1712
20190122,7343,1536,1567
20190122,7368,1546,1594
20190123,951,2428,2353
20190123,7300,1525,1680
20190123,7307,1476,1628
20190123,7313,1496,1493
20190124,977,2389,2354
20190124,7304,1528,1621
20190124,7323,1479,1664
20190124,7340,1549,1584
20190125,917,2369,2487
20190125,951,2382,2427
20190125,7305,1509,1426
20190125,7308,1485,1471
20190125,7310,1468,1603
20190125,7364,1514,1720
20190125,7394,1557,1529
20190126,908,1854,1891
20190126,7335,1093,1205
20190126,7358,1178,1276
20190127,920,1777,1629
20190127,969,1779,1813
20190127,7315,1184,1088
20190127,7392,1094,1119
20190128,923,2363,2500
20190128,953,2382,2739
20190128,957,2359,2374
20190128,959,2371,2498
20190128,976,2287,2370
20190128,7313,1495,1411
20190128,7327,1468,1487
20190129,966,2461,2736
20190129,983,2404,2466
20190129,7312,1571,1748
20190129,7320,1448,1292
20190129,7351,1485,1443
20190129,7370,1532,1607
20190130,911,2389,2651
20190130,923,2349,2827
20190130,933,2394,2821
20190130,940,2423,2662
20190130,970,2458,2228
20190130,994,2449,2456
20190130,7340,1581,1820
20190130,7343,1528,1533
20190130,7355,1520,1753
20190130,7359,1439,1488
20190131,927,2441,2422
20190131,939,2425,2829
20190131,954,2463,2750
20190131,976,2393,2279
20190131,7351,1447,1500
20190201,902,2417,2443
20190201,958,2376,2481
20190201,7317,1488,1591
20190201,7318,1513,1502
20190201,7379,1417,1531
20190202,944,1792,1810
20190202,7301,1056,1155
20190202,7309,1128,1213
20190202,7317,1128,1113
20190202,7348,1143,1081
20190202,7388,1145,1283
20190202,7391,1165,1243
20190203,927,1834,2012
20190203,945,1761,2000
20190203,963,1768,1854
20190203,7350,1122,1174
20190203,7353,1084,1108
20190203,7372,1133,1398
20190204,900,2400,2577
20190204,7303,1480,1260
20190205,7309,1508,1518
20190205,7331,1525,1378
20190205,7358,1478,1379
20190205,7361,1448,1521
20190207,947,2431,2864
20190207,7304,1494,1542
20190207,7321,1499,1531
20190207,7391,1479,1546
20190208,944,2386,2466
20190208,7313,1548,1243
20190209,7302,1190,1352
20190210,992,1785,1681
20190210,7332,1160,1179
20190210,7338,1125,1023
20190210,7348,1049,1095
20190211,947,2422,2308
20190211,7303,1506,1356
20190211,7359,1502,1203
20190211,7395,1557,1632
20190212,944,2394,2487
20190212,954,2403,2661
20190213,7337,1519,1554
20190213,7366,1532,1556
20190213,7380,1464,1593
20190213,7392,1526,1630
20190214,901,2339,2702
20190214,997,2438,2338
20190215,963,2407,2376
20190215,993,2364,2559
20190216,928,1756,1900
20190216,940,1727,1860
20190216,957,1795,1886
20190216,979,1744,1769
20190216,7370,1133,1215
20190216,7375,1163,1146
20190217,909,1794,1850
20190217,920,1865,1889
20190217,923,1801,1883
20190217,967,1863,1508
20190217,980,1815,1574
20190217,7308,1085,1148
20190218,998,2332,2265
20190218,7369,1541,1673
20190218,7390,1542,1668
20190219,943,2407,2880
20190219,7368,1459,1343
20190219,7399,1554,1724
20190220,965,2387,2447
20190220,7303,1495,1609
20190221,934,2369,2245
20190221,7336,1479,1681
20190222,938,2375,2460
20190222,7363,1545,1620
20190222,7381,1508,1166
20190223,7316,1126,1088
20190223,7343,1117,1212
20190223,7362,1073,1052
20190224,7303,1085,1082
20190224,7328,1137,1205
20190224,7395,1149,1361
20190225,939,2403,2598
20190225,967,2401,2355
20190225,980,2403,2009
20190225,7300,1527,1535
20190225,7314,1471,1538
20190225,7384,1499,1645
20190226,911,2451,2366
20190226,7309,1509,1541
20190226,7316,1523,1643
20190226,7379,1487,1601
20190227,7300,1496,1584
20190227,7305,1432,1214
20190228,904,2331,2376
20190228,929,2395,2532
20190301,928,2453,2355
20190301,973,2376,2356
20190301,994,2366,2730
20190301,7328,1563,1642
20190302,903,1790,1814
20190302,943,1788,1915
20190302,7320,1178,1109
20190302,7334,1118,1094
20190303,929,1794,1797
20190303,942,1851,1954
20190303,952,1842,2144
20190303,7322,1170,1464
20190303,7332,1120,1256
20190304,969,2415,2452
20190304,7319,1510,1662
20190304,7330,1546,1542
20190304,7365,1524,1602
20190304,7374,1476,1585
20190304,7389,1546,1674
20190305,926,2386,2160
20190305,7307,1443,1520
20190306,915,2424,2608
20190306,931,2442,2861
20190306,962,2341,2490
20190306,964,2280,1995
20190306,993,2369,2545
20190306,994,2401,2268
20190306,996,2400,2432
20190306,7310,1517,1524
20190306,7318,1489,1607
20190306,7333,1534,1531
20190306,7358,1491,1533
20190306,7388,1476,1690
20190307,954,2413,2480
20190307,955,2369,2529
20190307,981,2382,2298
20190307,985,2400,2082
20190307,7364,1549,1552
20190307,7387,1435,1520
20190308,935,2521,2446
20190308,971,2301,2249
20190308,7388,1565,1427
20190309,7313,1109,1193
20190309,7326,1184,1100
20190309,7331,1110,953
20190309,7332,1142,1164
20190309,7384,1203,1207
20190309,7392,1108,1240
20190309,7395,1099,1164
20190310,940,1795,1849
20190310,946,1738,1769
20190310,982,1750,1802
20190310,984,1811,1545
20190310,988,1811,1601
20190310,7310,1098,1137
20190310,7325,1110,1095
20190310,7358,1171,1430
20190310,7399,1177,1111
20190311,955,2373,2700
20190311,7307,1525,1814
20190312,907,2334,2507
20190312,911,2549,2346
20190312,950,2397,2494
20190313,969,2414,2363
20190313,983,2338,2378
20190313,7317,1493,1650
20190313,7350,1530,1677
20190313,7370,1492,1661
20190314,917,2401,2466
20190314,7314,1506,1646
20190314,7337,1499,1637
20190314,7379,1531,1910
20190315,905,2367,2200
20190315,984,2484,2314
