trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240101,979,3064,3233
20240101,992,3086,2834
20240101,7329,1951,2031
20240101,7358,1885,2074
20240101,7369,1963,1981
20240101,7372,1991,2223
20240102,927,3188,2970
20240102,931,3009,2955
20240102,949,3184,3230
20240102,7314,1958,1881
20240102,7339,1957,1905
20240102,7370,2023,1597
20240103,918,3129,3220
20240103,995,3065,3259
20240103,7374,1990,2161
20240103,7383,1909,1834
20240104,908,3156,2897
20240104,7310,1916,2023
20240104,7342,2027,1760
20240104,7346,1898,1975
20240104,7347,1948,1875
20240104,7362,1890,1987
20240104,7383,1973,1879
20240105,912,3243,3388
20240105,962,3109,3152
20240105,988,3169,2996
20240105,7372,1976,1843
20240105,7384,1913,1921
20240106,7349,1428,1497
20240107,902,2352,2371
20240107,906,2405,2510
20240107,7317,1502,1571
20240107,7337,1484,1436
20240108,975,3147,3169
20240108,7358,2042,2183
20240108,7365,1889,2160
20240109,944,3127,3300
20240109,7308,1997,1812
20240109,7330,1945,2229
20240109,7332,1952,2100
20240109,7333,1954,1973
20240109,7344,1892,1917
20240109,7369,1960,1996
20240110,904,3152,3488
20240110,953,3081,3081
20240110,955,3166,3316
20240110,983,3147,3457
20240110,7309,1966,2018
20240110,7337,1964,1890
20240110,7384,1974,1992
20240111,907,3087,2887
20240111,7320,1997,2100
20240112,941,3042,3100
20240112,7371,1874,2021
20240112,7384,1930,2051
20240113,7329,1455,1422
20240113,7330,1408,1361
20240113,7334,1489,1485
20240113,7372,1506,1432
20240113,7374,1500,1703
20240114,917,2312,1633
20240114,988,2373,2683
20240114,7312,1399,1499
20240114,7394,1518,1659
20240115,901,2978,2993
20240115,931,3082,3315
20240115,936,3167,2791
20240115,7320,1913,2166
20240115,7340,2032,1832
20240115,7390,2046,2163
20240116,983,3078,3100
20240116,7316,1980,1907
20240116,7321,1917,2184
20240116,7331,1933,2095
20240116,7393,1815,2156
20240116,7396,1961,2082
20240117,944,3080,3418
20240117,945,3056,3274
20240117,948,3206,3574
20240117,974,3148,3033
20240117,7367,1974,1986
20240117,7373,1994,1914
20240118,900,3145,2757
20240118,901,3116,2872
20240118,923,3184,2733
20240118,925,3091,3215
20240118,937,3066,3282
20240118,943,3103,3325
20240118,947,3024,3447
20240118,979,3150,3613
20240118,995,3049,3452
20240118,995,3063,3238
20240118,998,3176,3370
20240118,7355,1969,2040
20240119,904,3176,3355
20240119,939,3047,2987
20240119,975,3115,3048
20240119,7365,1943,2016
20240120,993,2309,2306
20240120,996,2363,2030
20240120,7355,1476,1619
20240121,906,2379,2316
20240121,930,2319,2593
20240121,973,2405,2563
20240121,984,2290,2402
20240121,7306,1460,1403
20240121,7390,1442,1493
20240121,7393,1509,1502
20240122,925,3035,3194
20240122,927,3230,2978
20240122,942,3080,3525
20240122,978,3127,3450
20240122,7365,1971,2171
20240122,7394,1942,2131
20240123,976,3043,2901
20240123,988,3082,3452
20240123,7300,1964,1916
20240123,7398,2012,2043
20240124,938,3039,3275
20240124,995,3071,3408
20240124,7366,1972,2148
20240125,971,3044,3047
20240125,7362,1875,1977
20240125,7373,1975,2091
20240126,973,3153,3069
20240127,918,2321,2366
20240127,977,2355,2713
20240127,7365,1491,1557
20240127,7381,1513,1631
20240128,945,2348,2490
20240128,978,2323,2433
20240128,7326,1435,1443
20240129,931,3194,3166
20240129,947,3057,3225
20240130,930,3068,2948
20240130,7327,1885,2087
20240130,7359,1998,1984
20240131,982,3020,2776
20240131,996,3095,3701
20240131,7378,1946,2020
20240131,7389,1974,2137
