trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20220101,7375,1273,1214
20220102,910,2108,2015
20220102,921,2080,2049
20220102,981,2206,2219
20220102,7306,1301,1223
20220102,7328,1272,1153
20220103,911,2861,3187
20220103,967,2765,2763
20220103,982,2936,3464
20220103,985,2797,2785
20220103,7335,1704,1650
20220103,7399,1779,1838
20220104,7347,1807,1887
20220104,7357,1724,1550
20220104,7374,1739,2002
20220105,923,2875,2650
20220105,977,2838,2830
20220105,991,2765,2774
20220105,7329,1750,1767
20220105,7375,1744,1843
20220105,7376,1771,1633
20220105,7383,1763,1887
20220106,911,2908,3006
20220106,976,2739,2675
20220107,940,2853,2816
20220107,954,2845,3256
20220107,984,2760,2875
20220108,951,2180,2166
20220108,7365,1342,1327
20220109,906,2167,2358
20220109,914,2087,2201
20220109,967,2121,1740
20220109,7383,1301,1162
20220110,944,2968,3236
20220110,945,2895,3033
20220110,956,2946,3021
20220110,965,2793,2700
20220110,7314,1762,1804
20220110,7360,1640,1682
20220111,7309,1755,1983
20220111,7315,1782,1688
20220111,7340,1730,1967
20220111,7396,1744,1642
20220112,986,2839,2961
20220112,7348,1759,1912
20220112,7389,1733,1739
20220113,908,2871,2969
20220113,925,2892,3042
20220113,954,2793,2913
20220113,7307,1737,1697
20220113,7319,1827,1796
20220113,7339,1809,1993
20220113,7345,1761,1763
20220113,7364,1768,1984
20220113,7370,1816,1755
20220113,7397,1746,1895
20220114,978,2924,3121
20220114,7305,1752,1875
20220114,7359,1719,1647
20220115,940,2134,1991
20220115,7341,1378,1394
20220116,910,2178,2491
20220116,990,2010,1860
20220116,7361,1314,1443
20220117,904,2934,2888
20220117,984,2840,3102
20220117,7359,1799,1651
20220117,7375,1712,2021
20220117,7398,1775,2040
20220118,7319,1761,1949
20220118,7391,1794,2079
20220118,7399,1781,1805
20220119,7329,1775,1764
20220120,912,2873,2471
20220120,988,2895,2983
20220121,915,2850,3155
20220121,930,2875,2855
20220121,981,2874,3171
20220121,993,2828,2588
20220121,7302,1746,2045
20220121,7382,1792,1846
20220122,907,2116,2029
20220122,999,2094,2083
20220122,7341,1206,1182
20220122,7355,1383,1514
20220122,7389,1338,1495
20220123,931,2168,2237
20220123,966,2132,2278
20220123,970,2164,2221
20220123,986,2137,2106
20220123,7317,1286,1440
20220124,962,2915,2563
20220124,7348,1834,1797
20220125,921,2791,2694
20220125,937,2814,3161
20220125,7307,1776,1698
20220125,7329,1779,1964
20220125,7329,1780,1841
20220125,7347,1765,2028
20220125,7397,1798,1573
20220126,923,2864,2814
20220126,982,2847,2925
20220126,998,2797,2902
20220126,7307,1781,1670
20220126,7358,1726,1853
20220126,7363,1772,1789
20220127,965,2802,2868
20220127,979,2935,3360
20220128,973,2812,2740
20220128,973,2860,2848
20220128,7318,1760,1793
20220128,7338,1710,1775
20220129,973,2126,2261
20220129,7301,1335,1410
20220129,7345,1306,1348
20220129,7348,1345,1201
20220129,7354,1312,1394
20220130,948,2129,2130
20220130,962,2146,2462
20220130,7300,1311,1334
20220130,7322,1322,1378
20220131,951,2825,2859
20220131,996,2814,2763
20220201,926,2887,3447
20220201,937,2893,2723
20220201,960,2792,2925
20220201,977,2849,3250
20220201,977,2818,2515
20220201,978,2884,3001
20220201,997,2864,2771
20220201,7303,1805,2073
20220201,7313,1754,1691
20220201,7356,1733,1824
20220201,7391,1706,1845
20220202,7335,1770,2069
20220203,7331,1750,2018
20220203,7392,1822,1983
20220204,900,2877,3292
20220204,903,2807,2982
