trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20230101,940,2296,2753
20230101,940,2254,2198
20230101,7311,1390,1092
20230102,902,2891,3102
20230102,937,2992,3205
20230102,7389,1860,1821
20230103,967,2913,3127
20230103,7306,1868,1820
20230104,908,2941,3036
20230104,936,2993,3060
20230104,959,2912,3058
20230104,7342,1929,2096
20230104,7346,1744,1793
20230104,7382,1900,2037
20230105,931,3010,2908
20230105,953,3066,3349
20230105,957,3029,2941
20230105,958,3096,3539
20230105,958,3027,2982
20230105,959,2920,3047
20230105,979,2902,3066
20230105,984,2871,2848
20230105,7342,1905,1796
20230105,7383,1856,1968
20230106,933,2952,2961
20230106,942,3001,3264
20230106,954,2909,2638
20230106,972,3013,2984
20230106,7358,1852,2082
20230107,934,2299,2377
20230107,963,2332,2498
20230107,7384,1398,1423
20230108,966,2245,2518
20230108,7367,1407,1546
20230108,7379,1341,1450
20230108,7381,1351,1546
20230109,926,2895,2994
20230109,7303,1937,2242
20230110,955,3041,2809
20230110,958,2883,2755
20230111,930,3021,3046
20230111,7311,1842,1834
20230111,7386,1926,1869
20230112,988,2977,3193
20230112,7360,1857,1848
20230113,954,2920,3033
20230113,966,2916,2784
20230113,982,2912,2878
20230113,7320,1832,1736
20230113,7327,1872,1825
20230113,7396,1862,2063
20230114,912,2119,1945
20230114,982,2196,2547
20230114,7347,1425,1550
20230114,7383,1363,1277
20230115,908,2240,2303
20230115,910,2253,2373
20230115,988,2225,1978
20230116,902,2976,3448
20230116,959,3034,2910
20230116,7333,1829,1943
20230116,7365,1809,1982
20230116,7380,1825,1881
20230117,909,2989,3154
20230117,918,2936,2765
20230118,7301,1920,1827
20230118,7362,1911,1819
20230119,950,2993,3077
20230119,959,2951,3165
20230119,7306,1807,1865
20230119,7344,1899,1954
20230119,7352,1857,2019
20230119,7356,1835,2030
20230120,963,2973,3251
20230121,959,2224,2014
20230121,971,2190,2145
20230121,7371,1354,1455
20230122,990,2272,2298
20230122,998,2206,2208
20230122,7387,1474,1669
20230123,919,2990,2874
20230123,947,2930,3081
20230123,7314,1886,1945
20230124,908,2953,2940
20230124,921,2990,3037
20230124,945,2987,2774
20230124,971,2975,2692
20230124,7357,1804,1968
20230125,907,2974,3342
20230125,923,2928,3121
20230125,997,3058,3021
20230125,7300,1917,1890
20230125,7350,1918,1927
20230125,7358,1835,1844
20230126,960,2949,3368
20230126,7305,1899,2162
20230126,7313,1856,2017
20230126,7376,1880,2126
20230126,7385,1947,1964
20230127,907,3047,3221
20230127,7353,1853,1991
20230128,912,2296,2386
20230128,969,2264,2256
